ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x4d00000cc313";"CPADLTOBDT.Structure";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:39.287Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-294-23B";;"857314b8-3809-4e06-a626-e7bb142de7b3";
"0x4d00000cc14b";"HAVRFYRMSC.Structure";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:38.316Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-294-08B";;"bc7fe759-917a-453e-aea0-747887bc65f3";
"0x4d00000c80b1";"KGRLJZEBGZ.Structure";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:20.966Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-294-23C";;"af1e9d19-11ac-4ad8-8580-062afc2a39ac";
"0x1b000001a238";"LHUQMTEWAL.Structure";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:46.899Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"NOC-09-05AMB";;;
"0x1b000001a91c";"PPZTHGLTTH.Structure";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:47.964Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"NOC-09-01";;;
"0x4d00000b81a4";"RTFGLZXKHW.Structure";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:47:18.268Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-294-37A";;"69fd1f11-c70b-4a01-ae04-0c038c28177a";
"0x4d00000cc326";"XHWYHLKAKW.Structure";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:39.350Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-294-17BB";;"df5286b7-369c-4217-8aaf-08e90144eabb";
"0x4d00000c811c";"ZGPRSQPKGF.Structure";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:21.249Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E-294-31A";;"8cec8ba9-ea37-4d99-9d71-bc2bd0489eec";
