ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x1b000001a50c";"BJJCHVXPOO.Droptube";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:47.307Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Droptube";;;
"0x4d00000b7ac7";"CHLRVMCKFA.Droptube";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:47:16.126Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Droptube";{"id":"0x4d00000b7abd","relClassName":"BisCore.ElementOwnsChildElements"};"e1a6abd4-33c3-4c1f-8611-d0e657feb612";
"0x1b000001ae3d";"PEHLOEFZYR.Droptube";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:48.684Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Droptube";;;
"0x4d00000def3c";"VWWLRTWHFW.Droptube";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:49:54.847Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Droptube";;"41e803fe-207b-493a-82e4-317e42479a44";
"0x4d00000e6fd9";"EGHTAMAFFI.Droptube";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:22.219Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Droptube";;"371391e6-7f49-427e-992b-2d0091f9dee8";
"0x4d00000fb4c8";"JMXASWAGFH.Droptube";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:28:55.460Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Droptube";;"e3587164-cc69-42c9-9afa-5b5de78e74e9";
