ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x4d00000b3786";"GXGIOOLDXN.Sps";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:46:57.164Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Sps";;"bb22adef-3978-407b-beb8-9909bc6ca474";
"0x1b000001ae3f";"WKXJGOBEBI.Sps";{"id":"0x20000000801","relClassName":"BisCore.ModelContainsElements"};"2021-08-02T06:04:48.700Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Sps";;;
"0x4d00000eed7e";"IJZVYBICGI.Sps";{"id":"0x20000000807","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:27:04.931Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Sps";;"4e15bb15-d928-4d7e-83cf-5b39ffe319dc";
"0x4d00000eb412";"AZIMALKHZP.Sps";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:38.036Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Sps";;"3fbeb975-5fcf-43b8-a167-2c4c9871d458";
"0x4d00000fb4ca";"CDGBNOROVZ.Sps";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:28:55.475Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Sps";;"ac7e05ef-08be-4df7-895b-eb4767721b3b";
