ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x4d00000d036d";"AXQJNYRIGN.Wire";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:55.549Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y1E";;"0a205819-04fc-4449-ade0-9c30a4a555e4";
"0x4d00000cc13e";"IOKCUYMMOX.Wire";{"id":"0x2000000080d","relClassName":"BisCore.ModelContainsElements"};"2022-01-20T16:48:38.066Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y1F";;"3dd55f70-a623-487e-a7dd-34e01fd8c1ef";
"0x4d00000eaed1";"LSGNKSFUDN.Wire";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:37.019Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"T.W";;"4aa04c5f-d590-4bf7-844f-7e3fb1b516b1";
"0x4d00000fd840";"AVUWHFHSVX.Wire";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:29:03.208Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E.W.2 ";;"565885b1-7415-417a-a16d-c2ebe6f5529e";
"0x4d00000fd830";"CXLCGDIUYW.Wire";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:29:03.193Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E.W.1 ";;"ca93df0b-85f1-41bd-82c2-f55caee3f09b";
"0x4d00000eb049";"FOCRPJYIDU.Wire";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:37.410Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"E.W.2";;"c69e4b15-33b1-4bfb-8c19-aa78ec4f8f64";
"0x4d00000fd825";"RXRUDOHVHZ.Wire";{"id":"0x20000000809","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:29:03.161Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"T.W";;"f7087db2-c708-4f5f-81dc-17ed8baa3115";
"0x4d00000eaf50";"UEOTDUHFLR.Wire";{"id":"0x20000000803","relClassName":"BisCore.ModelContainsElements"};"2022-02-16T12:25:37.222Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"Y2B";;"f835a833-42c8-49c4-875d-977dc1d97d91";
