ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0xf000008260a";"GVRNXDUQZB.Wire";{"id":"0xf0000000a73","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:27:30.057Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"22A";;"e17e5e56-b183-4da4-b8c0-cb31546a7466";
"0xf00000826dd";"HLHDJBYSOK.Wire";{"id":"0xf0000000a73","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:27:30.151Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"22B";;"bb889c49-6aeb-4ef9-a0bf-67218205adc6";
"0xf00000822e4";"Wire.Wire";{"id":"0xf0000000a71","relClassName":"BisCore.ModelContainsElements"};"2022-04-12T10:27:19.659Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"21A";;"00c9bd9f-6926-400b-ac50-b8508d55a195";
