ECInstanceId;ECClassId;Model;LastMod;CodeSpec;CodeScope;CodeValue;UserLabel;Parent;FederationGuid;JsonProperties
"0x21000004cf1b";"VCZVFSJJQD.WireSupport";{"id":"0x21000000042b","relClassName":"BisCore.ModelContainsElements"};"2022-03-25T14:40:56.438Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"656b6c1c-c089-4d64-9da8-d689bca4000f";
"0x2100000800aa";"GCFMNCEUGE.WireSupport";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:12.142Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"e9e743ce-a25c-4604-a149-36aea2387046";
"0x21000007fe62";"HSHVHJDECG.WireSupport";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:11.516Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"1ce4de38-0031-46cb-b64f-964bb40f117f";
"0x21000007fdbe";"WRVDUXYNZE.WireSupport";{"id":"0x210000000427","relClassName":"BisCore.ModelContainsElements"};"2022-04-04T11:31:11.126Z";{"id":"0x1","relClassName":"BisCore.CodeSpecSpecifiesCode"};{"id":"0x1","relClassName":"BisCore.ElementScopesCode"};;"WireSupport";;"9f554d1f-9a0c-4a42-8365-d44a0338dbad";
